pattern	replacement	feature	sentiment
 (nicht|nichts|kein|keine|keinen) abfangschirm 	 NOT_abfangschirm 	 NOT_abfangschirm 	-1
 (nicht|nichts|kein|keine|keinen) abflauen 	 NOT_abflauen 	 NOT_abflauen 	1
 (nicht|nichts|kein|keine|keinen) abfluss 	 NOT_abfluss 	 NOT_abfluss 	1
 (nicht|nichts|kein|keine|keinen) abflussgraben 	 NOT_abflussgraben 	 NOT_abflussgraben 	1
 (nicht|nichts|kein|keine|keinen) abforderung 	 NOT_abforderung 	 NOT_abforderung 	1
 (nicht|nichts|kein|keine|keinen) abformung 	 NOT_abformung 	 NOT_abformung 	1
 (nicht|nichts|kein|keine|keinen) abfuhr 	 NOT_abfuhr 	 NOT_abfuhr 	1
 (nicht|nichts|kein|keine|keinen) abführ 	 NOT_abführ 	 NOT_abführ 	1
 (nicht|nichts|kein|keine|keinen) abführe 	 NOT_abführe 	 NOT_abführe 	1
 (nicht|nichts|kein|keine|keinen) abfuhren 	 NOT_abfuhren 	 NOT_abfuhren 	1
 (nicht|nichts|kein|keine|keinen) abführen 	 NOT_abführen 	 NOT_abführen 	1
 (nicht|nichts|kein|keine|keinen) abführest 	 NOT_abführest 	 NOT_abführest 	1
 (nicht|nichts|kein|keine|keinen) abführet 	 NOT_abführet 	 NOT_abführet 	1
 (nicht|nichts|kein|keine|keinen) abführst 	 NOT_abführst 	 NOT_abführst 	1
 (nicht|nichts|kein|keine|keinen) abführt 	 NOT_abführt 	 NOT_abführt 	1
 (nicht|nichts|kein|keine|keinen) abführte 	 NOT_abführte 	 NOT_abführte 	1
 (nicht|nichts|kein|keine|keinen) abführten 	 NOT_abführten 	 NOT_abführten 	1
 (nicht|nichts|kein|keine|keinen) abführtest 	 NOT_abführtest 	 NOT_abführtest 	1
 (nicht|nichts|kein|keine|keinen) abführtet 	 NOT_abführtet 	 NOT_abführtet 	1
 (nicht|nichts|kein|keine|keinen) abgang 	 NOT_abgang 	 NOT_abgang 	1
 (nicht|nichts|kein|keine|keinen) abgas 	 NOT_abgas 	 NOT_abgas 	1
 (nicht|nichts|kein|keine|keinen) abgaskanal 	 NOT_abgaskanal 	 NOT_abgaskanal 	1
 (nicht|nichts|kein|keine|keinen) abgearbeitet 	 NOT_abgearbeitet 	 NOT_abgearbeitet 	1
 (nicht|nichts|kein|keine|keinen) abgebrannt 	 NOT_abgebrannt 	 NOT_abgebrannt 	1
 (nicht|nichts|kein|keine|keinen) abgebrochen 	 NOT_abgebrochen 	 NOT_abgebrochen 	1
 (nicht|nichts|kein|keine|keinen) abgebrüht 	 NOT_abgebrüht 	 NOT_abgebrüht 	1
 (nicht|nichts|kein|keine|keinen) abgedankt 	 NOT_abgedankt 	 NOT_abgedankt 	1
 (nicht|nichts|kein|keine|keinen) abgedroschen 	 NOT_abgedroschen 	 NOT_abgedroschen 	1
 (nicht|nichts|kein|keine|keinen) abgedroschene 	 NOT_abgedroschene 	 NOT_abgedroschene 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenem 	 NOT_abgedroschenem 	 NOT_abgedroschenem 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenen 	 NOT_abgedroschenen 	 NOT_abgedroschenen 	1
 (nicht|nichts|kein|keine|keinen) abgedroschener 	 NOT_abgedroschener 	 NOT_abgedroschener 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenere 	 NOT_abgedroschenere 	 NOT_abgedroschenere 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenerem 	 NOT_abgedroschenerem 	 NOT_abgedroschenerem 	1
 (nicht|nichts|kein|keine|keinen) abgedroscheneren 	 NOT_abgedroscheneren 	 NOT_abgedroscheneren 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenerer 	 NOT_abgedroschenerer 	 NOT_abgedroschenerer 	1
 (nicht|nichts|kein|keine|keinen) abgedroscheneres 	 NOT_abgedroscheneres 	 NOT_abgedroscheneres 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenes 	 NOT_abgedroschenes 	 NOT_abgedroschenes 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenst 	 NOT_abgedroschenst 	 NOT_abgedroschenst 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenste 	 NOT_abgedroschenste 	 NOT_abgedroschenste 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenstem 	 NOT_abgedroschenstem 	 NOT_abgedroschenstem 	1
 (nicht|nichts|kein|keine|keinen) abgedroschensten 	 NOT_abgedroschensten 	 NOT_abgedroschensten 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenster 	 NOT_abgedroschenster 	 NOT_abgedroschenster 	1
 (nicht|nichts|kein|keine|keinen) abgedroschenstes 	 NOT_abgedroschenstes 	 NOT_abgedroschenstes 	1
 (nicht|nichts|kein|keine|keinen) abgedroschner 	 NOT_abgedroschner 	 NOT_abgedroschner 	1
 (nicht|nichts|kein|keine|keinen) abgedroschnere 	 NOT_abgedroschnere 	 NOT_abgedroschnere 	1
 (nicht|nichts|kein|keine|keinen) abgedroschnerem 	 NOT_abgedroschnerem 	 NOT_abgedroschnerem 	1
 (nicht|nichts|kein|keine|keinen) abgedroschneren 	 NOT_abgedroschneren 	 NOT_abgedroschneren 	1
 (nicht|nichts|kein|keine|keinen) abgedroschnerer 	 NOT_abgedroschnerer 	 NOT_abgedroschnerer 	1
 (nicht|nichts|kein|keine|keinen) abgedroschneres 	 NOT_abgedroschneres 	 NOT_abgedroschneres 	1
 (nicht|nichts|kein|keine|keinen) abgefahren 	 NOT_abgefahren 	 NOT_abgefahren 	-1
 (nicht|nichts|kein|keine|keinen) abgeführt 	 NOT_abgeführt 	 NOT_abgeführt 	1
 (nicht|nichts|kein|keine|keinen) abgehackt 	 NOT_abgehackt 	 NOT_abgehackt 	1
 (nicht|nichts|kein|keine|keinen) abgehärmt 	 NOT_abgehärmt 	 NOT_abgehärmt 	1
 (nicht|nichts|kein|keine|keinen) abgehärtet 	 NOT_abgehärtet 	 NOT_abgehärtet 	1
 (nicht|nichts|kein|keine|keinen) abgeheilt 	 NOT_abgeheilt 	 NOT_abgeheilt 	-1
 (nicht|nichts|kein|keine|keinen) abgehend 	 NOT_abgehend 	 NOT_abgehend 	-1
 (nicht|nichts|kein|keine|keinen) abgehoben 	 NOT_abgehoben 	 NOT_abgehoben 	1
 (nicht|nichts|kein|keine|keinen) abgekämpft 	 NOT_abgekämpft 	 NOT_abgekämpft 	1
 (nicht|nichts|kein|keine|keinen) abgeklärtheit 	 NOT_abgeklärtheit 	 NOT_abgeklärtheit 	-1
 (nicht|nichts|kein|keine|keinen) abgelagert 	 NOT_abgelagert 	 NOT_abgelagert 	-1
 (nicht|nichts|kein|keine|keinen) abgelaufen 	 NOT_abgelaufen 	 NOT_abgelaufen 	1
 (nicht|nichts|kein|keine|keinen) abgelegen 	 NOT_abgelegen 	 NOT_abgelegen 	1
 (nicht|nichts|kein|keine|keinen) abgelehnt 	 NOT_abgelehnt 	 NOT_abgelehnt 	1
 (nicht|nichts|kein|keine|keinen) abgelenkt 	 NOT_abgelenkt 	 NOT_abgelenkt 	1
 (nicht|nichts|kein|keine|keinen) abgelten 	 NOT_abgelten 	 NOT_abgelten 	1
 (nicht|nichts|kein|keine|keinen) abgemacht 	 NOT_abgemacht 	 NOT_abgemacht 	-1
 (nicht|nichts|kein|keine|keinen) abgemagert 	 NOT_abgemagert 	 NOT_abgemagert 	1
 (nicht|nichts|kein|keine|keinen) abgemergelt 	 NOT_abgemergelt 	 NOT_abgemergelt 	1
 (nicht|nichts|kein|keine|keinen) abgeneigt 	 NOT_abgeneigt 	 NOT_abgeneigt 	1
 (nicht|nichts|kein|keine|keinen) abgenutzt 	 NOT_abgenutzt 	 NOT_abgenutzt 	1
 (nicht|nichts|kein|keine|keinen) abgerissen 	 NOT_abgerissen 	 NOT_abgerissen 	1
 (nicht|nichts|kein|keine|keinen) abgeschieden 	 NOT_abgeschieden 	 NOT_abgeschieden 	1
 (nicht|nichts|kein|keine|keinen) abgeschiedenheit 	 NOT_abgeschiedenheit 	 NOT_abgeschiedenheit 	1
 (nicht|nichts|kein|keine|keinen) abgeschlagenheit 	 NOT_abgeschlagenheit 	 NOT_abgeschlagenheit 	1
 (nicht|nichts|kein|keine|keinen) abgeschliffen 	 NOT_abgeschliffen 	 NOT_abgeschliffen 	1
 (nicht|nichts|kein|keine|keinen) abgeschlossen 	 NOT_abgeschlossen 	 NOT_abgeschlossen 	1
 (nicht|nichts|kein|keine|keinen) abgeschlossenheit 	 NOT_abgeschlossenheit 	 NOT_abgeschlossenheit 	-1
 (nicht|nichts|kein|keine|keinen) abgeschmackt 	 NOT_abgeschmackt 	 NOT_abgeschmackt 	1
 (nicht|nichts|kein|keine|keinen) abgeschnitten 	 NOT_abgeschnitten 	 NOT_abgeschnitten 	1
 (nicht|nichts|kein|keine|keinen) abgeschottet 	 NOT_abgeschottet 	 NOT_abgeschottet 	1
 (nicht|nichts|kein|keine|keinen) abgeschreckt 	 NOT_abgeschreckt 	 NOT_abgeschreckt 	1
 (nicht|nichts|kein|keine|keinen) abgeschwächt 	 NOT_abgeschwächt 	 NOT_abgeschwächt 	1
 (nicht|nichts|kein|keine|keinen) abgesehen 	 NOT_abgesehen 	 NOT_abgesehen 	1
 (nicht|nichts|kein|keine|keinen) abgesichert 	 NOT_abgesichert 	 NOT_abgesichert 	-1
 (nicht|nichts|kein|keine|keinen) abgesondert 	 NOT_abgesondert 	 NOT_abgesondert 	1
 (nicht|nichts|kein|keine|keinen) abgespannt 	 NOT_abgespannt 	 NOT_abgespannt 	1
 (nicht|nichts|kein|keine|keinen) abgespanntheit 	 NOT_abgespanntheit 	 NOT_abgespanntheit 	1
 (nicht|nichts|kein|keine|keinen) abgestanden 	 NOT_abgestanden 	 NOT_abgestanden 	1
 (nicht|nichts|kein|keine|keinen) abgestandene 	 NOT_abgestandene 	 NOT_abgestandene 	1
 (nicht|nichts|kein|keine|keinen) abgestandenem 	 NOT_abgestandenem 	 NOT_abgestandenem 	1
 (nicht|nichts|kein|keine|keinen) abgestandenen 	 NOT_abgestandenen 	 NOT_abgestandenen 	1
 (nicht|nichts|kein|keine|keinen) abgestandener 	 NOT_abgestandener 	 NOT_abgestandener 	1
 (nicht|nichts|kein|keine|keinen) abgestandenere 	 NOT_abgestandenere 	 NOT_abgestandenere 	1
 (nicht|nichts|kein|keine|keinen) abgestandenerem 	 NOT_abgestandenerem 	 NOT_abgestandenerem 	1
 (nicht|nichts|kein|keine|keinen) abgestandeneren 	 NOT_abgestandeneren 	 NOT_abgestandeneren 	1
 (nicht|nichts|kein|keine|keinen) abgestandenerer 	 NOT_abgestandenerer 	 NOT_abgestandenerer 	1
 (nicht|nichts|kein|keine|keinen) abgestandeneres 	 NOT_abgestandeneres 	 NOT_abgestandeneres 	1
 (nicht|nichts|kein|keine|keinen) abgestandenes 	 NOT_abgestandenes 	 NOT_abgestandenes 	1
 (nicht|nichts|kein|keine|keinen) abgestandenst 	 NOT_abgestandenst 	 NOT_abgestandenst 	1
 (nicht|nichts|kein|keine|keinen) abgestandenste 	 NOT_abgestandenste 	 NOT_abgestandenste 	1
 (nicht|nichts|kein|keine|keinen) abgestandenstem 	 NOT_abgestandenstem 	 NOT_abgestandenstem 	1
 (nicht|nichts|kein|keine|keinen) abgestandensten 	 NOT_abgestandensten 	 NOT_abgestandensten 	1
 (nicht|nichts|kein|keine|keinen) abgestandenster 	 NOT_abgestandenster 	 NOT_abgestandenster 	1
 (nicht|nichts|kein|keine|keinen) abgestandenstes 	 NOT_abgestandenstes 	 NOT_abgestandenstes 	1
 (nicht|nichts|kein|keine|keinen) abgestandner 	 NOT_abgestandner 	 NOT_abgestandner 	1
 (nicht|nichts|kein|keine|keinen) abgestandnere 	 NOT_abgestandnere 	 NOT_abgestandnere 	1
 (nicht|nichts|kein|keine|keinen) abgestandnerem 	 NOT_abgestandnerem 	 NOT_abgestandnerem 	1
 (nicht|nichts|kein|keine|keinen) abgestandneren 	 NOT_abgestandneren 	 NOT_abgestandneren 	1
 (nicht|nichts|kein|keine|keinen) abgestandnerer 	 NOT_abgestandnerer 	 NOT_abgestandnerer 	1
 (nicht|nichts|kein|keine|keinen) abgestandneres 	 NOT_abgestandneres 	 NOT_abgestandneres 	1
 (nicht|nichts|kein|keine|keinen) abgestimmt 	 NOT_abgestimmt 	 NOT_abgestimmt 	-1
 (nicht|nichts|kein|keine|keinen) abgestorben 	 NOT_abgestorben 	 NOT_abgestorben 	1
 (nicht|nichts|kein|keine|keinen) abgestoßen 	 NOT_abgestoßen 	 NOT_abgestoßen 	1
 (nicht|nichts|kein|keine|keinen) abgestuft 	 NOT_abgestuft 	 NOT_abgestuft 	1
 (nicht|nichts|kein|keine|keinen) abgestumpft 	 NOT_abgestumpft 	 NOT_abgestumpft 	1
 (nicht|nichts|kein|keine|keinen) abgestumpftheit 	 NOT_abgestumpftheit 	 NOT_abgestumpftheit 	1
 (nicht|nichts|kein|keine|keinen) abgestürzt 	 NOT_abgestürzt 	 NOT_abgestürzt 	1
 (nicht|nichts|kein|keine|keinen) abgetakelt 	 NOT_abgetakelt 	 NOT_abgetakelt 	1
 (nicht|nichts|kein|keine|keinen) abgetakelte 	 NOT_abgetakelte 	 NOT_abgetakelte 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltem 	 NOT_abgetakeltem 	 NOT_abgetakeltem 	1
 (nicht|nichts|kein|keine|keinen) abgetakelten 	 NOT_abgetakelten 	 NOT_abgetakelten 	1
 (nicht|nichts|kein|keine|keinen) abgetakelter 	 NOT_abgetakelter 	 NOT_abgetakelter 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltere 	 NOT_abgetakeltere 	 NOT_abgetakeltere 	1
 (nicht|nichts|kein|keine|keinen) abgetakelterem 	 NOT_abgetakelterem 	 NOT_abgetakelterem 	1
 (nicht|nichts|kein|keine|keinen) abgetakelteren 	 NOT_abgetakelteren 	 NOT_abgetakelteren 	1
 (nicht|nichts|kein|keine|keinen) abgetakelterer 	 NOT_abgetakelterer 	 NOT_abgetakelterer 	1
 (nicht|nichts|kein|keine|keinen) abgetakelteres 	 NOT_abgetakelteres 	 NOT_abgetakelteres 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltes 	 NOT_abgetakeltes 	 NOT_abgetakeltes 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltst 	 NOT_abgetakeltst 	 NOT_abgetakeltst 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltste 	 NOT_abgetakeltste 	 NOT_abgetakeltste 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltstem 	 NOT_abgetakeltstem 	 NOT_abgetakeltstem 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltsten 	 NOT_abgetakeltsten 	 NOT_abgetakeltsten 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltster 	 NOT_abgetakeltster 	 NOT_abgetakeltster 	1
 (nicht|nichts|kein|keine|keinen) abgetakeltstes 	 NOT_abgetakeltstes 	 NOT_abgetakeltstes 	1
 (nicht|nichts|kein|keine|keinen) abgeteilt 	 NOT_abgeteilt 	 NOT_abgeteilt 	1
 (nicht|nichts|kein|keine|keinen) abgetragen 	 NOT_abgetragen 	 NOT_abgetragen 	1
 (nicht|nichts|kein|keine|keinen) abgewertet 	 NOT_abgewertet 	 NOT_abgewertet 	1
 (nicht|nichts|kein|keine|keinen) abgewinkelt 	 NOT_abgewinkelt 	 NOT_abgewinkelt 	1
 (nicht|nichts|kein|keine|keinen) abgeworben 	 NOT_abgeworben 	 NOT_abgeworben 	-1
 (nicht|nichts|kein|keine|keinen) abgezehrt 	 NOT_abgezehrt 	 NOT_abgezehrt 	1
 (nicht|nichts|kein|keine|keinen) abgleich 	 NOT_abgleich 	 NOT_abgleich 	-1
 (nicht|nichts|kein|keine|keinen) abgleichen 	 NOT_abgleichen 	 NOT_abgleichen 	-1
 (nicht|nichts|kein|keine|keinen) abgleiten 	 NOT_abgleiten 	 NOT_abgleiten 	1
 (nicht|nichts|kein|keine|keinen) abgott 	 NOT_abgott 	 NOT_abgott 	-1
 (nicht|nichts|kein|keine|keinen) abgrabung 	 NOT_abgrabung 	 NOT_abgrabung 	1
 (nicht|nichts|kein|keine|keinen) abgrenzen 	 NOT_abgrenzen 	 NOT_abgrenzen 	1
 (nicht|nichts|kein|keine|keinen) abgrenzung 	 NOT_abgrenzung 	 NOT_abgrenzung 	1
 (nicht|nichts|kein|keine|keinen) abgrund 	 NOT_abgrund 	 NOT_abgrund 	1
 (nicht|nichts|kein|keine|keinen) abgründig 	 NOT_abgründig 	 NOT_abgründig 	1
 (nicht|nichts|kein|keine|keinen) abgründige 	 NOT_abgründige 	 NOT_abgründige 	1
 (nicht|nichts|kein|keine|keinen) abgründigem 	 NOT_abgründigem 	 NOT_abgründigem 	1
 (nicht|nichts|kein|keine|keinen) abgründigen 	 NOT_abgründigen 	 NOT_abgründigen 	1
 (nicht|nichts|kein|keine|keinen) abgründiger 	 NOT_abgründiger 	 NOT_abgründiger 	1
 (nicht|nichts|kein|keine|keinen) abgründigere 	 NOT_abgründigere 	 NOT_abgründigere 	1
 (nicht|nichts|kein|keine|keinen) abgründigerem 	 NOT_abgründigerem 	 NOT_abgründigerem 	1
 (nicht|nichts|kein|keine|keinen) abgründigeren 	 NOT_abgründigeren 	 NOT_abgründigeren 	1
 (nicht|nichts|kein|keine|keinen) abgründigerer 	 NOT_abgründigerer 	 NOT_abgründigerer 	1
 (nicht|nichts|kein|keine|keinen) abgründigeres 	 NOT_abgründigeres 	 NOT_abgründigeres 	1
 (nicht|nichts|kein|keine|keinen) abgründiges 	 NOT_abgründiges 	 NOT_abgründiges 	1
 (nicht|nichts|kein|keine|keinen) abgründigst 	 NOT_abgründigst 	 NOT_abgründigst 	1
 (nicht|nichts|kein|keine|keinen) abgründigste 	 NOT_abgründigste 	 NOT_abgründigste 	1
 (nicht|nichts|kein|keine|keinen) abgründigstem 	 NOT_abgründigstem 	 NOT_abgründigstem 	1
 (nicht|nichts|kein|keine|keinen) abgründigsten 	 NOT_abgründigsten 	 NOT_abgründigsten 	1
 (nicht|nichts|kein|keine|keinen) abgründigster 	 NOT_abgründigster 	 NOT_abgründigster 	1
